gene_id	gene_name	read_count	rpm	tpm	mean_depth	percent_coverage	gene_length
0|AAA16360.1|L11078.1|1|1|stxA2b|stxA2b|Shiga_toxin_Stx2b_subunit_A	stxA2b	0	0.0000	0.0000	0.0000	0.00	0
0|AAA16361.1|L11078.1|1|1|stxB2b|stxB2b|Shiga_toxin_Stx2b_subunit_B	stxB2b	0	0.0000	0.0000	0.0000	0.00	0
0|AAA16362.1|L11079.1|1|1|stxA2c|stxA2c|Shiga_toxin_Stx2c_subunit_A	stxA2c	0	0.0000	0.0000	0.0000	0.00	0
0|AAA18472.1|U09235.1|1|1|ystA|ystA|ST-I_family_heat-stable_enterotoxin_YstA	ystA	0	0.0000	0.0000	0.0000	0.00	0
0|AAA18786.1|U04208.1|1|1|cdtB_II|cdtB_II|cytolethal_distending_toxin_type_II_nuclease_subunit_CdtB	cdtB_II	0	0.0000	0.0000	0.0000	0.00	0
0|AAA19189.1|M21534.1|1|1|stxA2e|stxA2e|Shiga_toxin_Stx2e_subunit_A	stxA2e	0	0.0000	0.0000	0.0000	0.00	0
0|AAA19190.1|M21534.1|1|1|stxB2e|stxB2e|Shiga_toxin_Stx2e_subunit_B	stxB2e	0	0.0000	0.0000	0.0000	0.00	0
0|AAA19623.1|M59432.1|1|1|stxA2_acd|stxA2_acd|Shiga_toxin_Stx2_subunit_A	stxA2_acd	0	0.0000	0.0000	0.0000	0.00	0
0|AAA19777.1|U11702.1|1|1|seh|seh|staphylococcal_enterotoxin_type_H	seh	0	0.0000	0.0000	0.0000	0.00	0
0|AAA20885.1|L11241.1|1|1|astA|astA|heat-stable_enterotoxin_EAST1	astA	0	0.0000	0.0000	0.0000	0.00	0
0|AAA21094.1|J02591.1|1|1|arsA|arsA|arsenite_efflux_transporter_ATPase_subunit_ArsA	arsA	0	0.0000	0.0000	0.0000	0.00	0
0|AAA21095.1|J02591.1|1|1|arsB_R773|arsB_R773|arsenite_efflux_transporter_membrane_subunit_ArsB	arsB_R773	0	0.0000	0.0000	0.0000	0.00	0
0|AAA21096.1|J02591.1|1|1|arsC_gluta|arsC_gluta|glutaredoxin-dependent_arsenate_reductase	arsC_gluta	0	0.0000	0.0000	0.0000	0.00	0
